id	name
4R529xQ7WQfRpSEXaHFbRg	InfaRed
7juKTDFlPesGeWQ1GmjmOv	Silentó
1Zatb2YN4erBOoSivOXc0o	O.T. Genasis
3HiuzBlSW7pGDXlSFMhO2g	Young Dolph
6roFdX1y5BYSbp60OTJWMd	Tim McGraw
4AK6F7OLvEQ5QYCBNiQWHq	One Direction
3hv9jJF3adDNsBSIQDqcjp	Mark Ronson
6DIS6PRrLS3wbnZsf7vYic	WALK THE MOON
5MouCg6ta7zAxsfMEbc1uh	OMI
4bL2B6hmLlMWnUEZnorEtG	Felix Jaehn
1HxJeLhIuegM3KgvPn8sTa	Jack Ü
5he5w2lnU9x7JFhnwcekXX	Skrillex
3QLIkT4rD2FMusaqmkepbq	Rachel Platten
6KZDXtSj0SzGOV705nNeh3	Kid Ink
0f5nVCcR06GX8Qikz0COtT	Omarion
2oX42qP5ineK3hrhBECLmj	Andy Grammer
4D75GcNG95ebPtNvoNVXhz	AFROJACK
6d47Z08T4snK50HgTEHo5Z	Sage The Gemini
27fy6rHPC58Eo2VUu0iJSG	Lookas
0TnOYISbd1XYRBk9myaseg	Pitbull
21E3waRsmPlU7jZsS13rcj	Ne-Yo
4TH4BHy0LdBi3dpBW4P2UX	R. City
4bYPcJP5jwMhSivRcqie2n	Adam Levine
2qdONMCoDngQk0eV4Avs1i	Natalie La Rose
4STHEaNw4mPZ2tzheohgXB	Paul McCartney
4UXqAaa6dQYAk18Lv7PEgX	Fall Out Boy
1Wnfj5qZsp8nPsGBBRRa4W	Monty
3crnzLy8R4lVwaigKEOz7V	E-40
5lHRUCqkQZCIWeX7xG4sYT	Rich Homie Quan
4MIULe6tfg2loNzBy5B9eu	T-Wayne
2VAnyOxzJuSAj7XIuEOT38	AlunaGeorge
3CygdxquGHurS7f9LjNLkv	Little Big Town
2iojnBLj0qIMiKPvVhLnsH	Trey Songz
10exVja0key0uqUkk6LJRT	Vance Joy
4TsHKU8l8Wq7n7OPVikirn	Jidenna
7hgRzsQGjlm1zifNoigyB9	Roman GianArthur
2M4eNCvV3CJUswavkhAQg2	James Newton Howard
3oCIYpmkFw8KGWwMNPKgXh	Jennifer Lawrence
